id,english,icelandic,english_tokens,icelandic_tokens,token_difference,text_length,length_category
1,The committee decided to postpone the meeting until next Wednesday to ensure all members could attend.,Þingið ákvað að fresta fundinum til næstu miðvikudags til að tryggja að allir félagsmenn gætu mætt.,17,46,29,102,Very Long
2,She carefully reviewed all the documents before signing the important contract with the new client.,Hún skoðaði vandlega öll skjöl áður en hún undirritaði mikilvægan samning við nýjan viðskiptavin.,16,46,30,99,Very Long
3,"After a long day at work, he enjoys relaxing by reading a good book in his favorite chair.",Eftir langan vinnudag nýtur hann þess að slaka á með því að lesa góða bók í uppáhalds stólnum sínum.,20,48,28,90,Long
4,The children were excited to explore the interactive science museum during their school field trip.,Börnin voru spennt að kanna gagnvirka vísindasmíðstofu í skólagöngu sinni.,16,36,20,99,Very Long
5,She has been learning to play the piano for several years and has become quite skilled at it.,Hún hefur verið að læra að spila píanó í nokkur ár og hefur orðið töluvert fær í því.,19,40,21,93,Long
6,The company announced a new initiative aimed at reducing its environmental impact over the next decade.,Fyrirtækið tilkynnti nýtt verkefni sem miðar að því að draga úr umhverfisáhrifum sínum á næstu áratug.,17,51,34,103,Very Long
7,During the summer vacation they plan to travel across Europe to visit several historic landmarks.,Á sumarfríiða hyggjast þau ferðast um Evrópu til að heimsækja nokkra sögulega staði.,16,39,23,97,Very Long
8,He decided to enroll in an advanced mathematics course to further his education and career prospects.,Hann ákvað að skrá sig í framhaldsstærðfræðikennslu til að efla þekkingu sína og starfsframa.,17,43,26,101,Very Long
9,The artist spent months perfecting the intricate details of the large-scale mural for the community center.,Listamaðurinn eyddi mánuðum í að fullkomna flókin smáatriði í mósaíkverkinu fyrir samfélagsmiðstöðina.,19,48,29,107,Very Long
10,They organized a charity event to raise funds for the local animal shelter and involved many volunteers.,Þau skipulögðu góðgerðaráætlun til að safna peningum fyrir staðbundna dýragæsluna og komu mörgum sjálfboðaliðum til þátttöku.,18,61,43,104,Very Long
11,The new technology allows users to connect their devices seamlessly and share information instantly.,Nýja tækni gerir notendum kleift að tengja tækin sín án truflana og deila upplýsingum tafarlaust.,15,41,26,100,Very Long
12,She prepared a delicious meal using fresh ingredients from the local farmers' market.,Hún undirbjó ljúffenga máltíð með ferskum hráefnum úr staðbundnum bændamarkaði.,15,39,24,85,Long
13,The university is offering scholarships to international students who demonstrate academic excellence.,Háskólinn býður upp á styrki til alþjóðlegra nemenda sem sýna akademíska framúrskarandi.,13,41,28,102,Very Long
14,He enjoys participating in outdoor activities such as hiking cycling and kayaking on weekends.,Hann nýtur þess að taka þátt í útivistarlífs svo sem göngu hjólaferðum og kajakferðamálum á helgum.,16,46,30,94,Long
15,The government introduced new regulations to improve workplace safety and protect employees' rights.,Ríkisstjórnin kynnti nýjar reglugerðir til að bæta öryggi á vinnustöðum og vernda réttindi starfsmanna.,15,49,34,100,Very Long
16,They renovated their house last summer adding a modern kitchen and expanding the living room.,Þau endurbættu húsið sitt síðasta sumar bættu við nútímalegum eldhúsi og stækktu stofuna.,16,45,29,93,Long
17,The research team published their findings in a prestigious scientific journal after years of study.,Rannsóknarteymið birtir niðurstöður sínar í virtum vísindatímariti eftir áranna langa rannsóknarvinnu.,16,49,33,100,Very Long
18,She volunteered at the local library helping children with their reading skills and organizing events.,Hún sjálfboðaliðaði í staðbundnum bókasafni og hjálpaði börnum með lestrarhæfni þeirra og skipulagði viðburði.,16,55,39,102,Very Long
19,The conference brought together experts from various fields to discuss advancements in renewable energy.,Fundurinn samdi sérfræðinga úr ýmsum greinum til að ræða framfarir í endurnýjanlegri orku.,15,41,26,104,Very Long
20,He wrote a detailed report analyzing the economic impact of the new policies implemented by the government.,Hann skrifaði ítarlegt skýrslu sem greindi efnahagslega áhrif nýju stefnu sem ríkisstjórnin innleiddi.,18,48,30,107,Very Long
21,The team worked tirelessly to complete the project before the tight deadline set by the client.,Teymið vann óþreytandi að ljúka verkefninu fyrir ströngum tímaákvörðunum sem viðskiptavinurinn setti.,17,48,31,95,Long
22,She traveled to several countries to conduct research on traditional music and its cultural significance.,Hún ferðaðist til nokkurra landa til að framkvæma rannsókn á hefðbundinni tónlist og menningarlegu mikilvægi hennar.,16,50,34,105,Very Long
23,The bookstore hosts weekly readings where authors share their latest works with enthusiastic audiences.,Bókasafnið heldur vikulega lestur þar sem rithöfundar deila nýjustu verkum sínum með áhugasömum áheyrendum.,15,44,29,103,Very Long
24,He invested in renewable energy stocks believing that sustainable businesses are the future.,Hann fjárfesti í hlutabréfum endurnýjanlegrar orku þar sem hann trúði því að sjálfbær fyrirtæki séu framtíðin.,14,52,38,92,Long
25,The city's public transportation system was upgraded to include more electric buses and improved routes.,Almenningssamgöngukerfi borgarinnar var uppfært til að innihalda fleiri rafmagnsbíla og betrumbættar leiðir.,17,47,30,104,Very Long
26,She organized a workshop on digital marketing strategies to help small businesses grow online.,Hún skipulagði vinnustofu um stafrænar markaðsherferðir til að hjálpa litlum fyrirtækjum að vaxa á netinu.,15,49,34,94,Long
27,The documentary provides an in-depth look at the lives of indigenous communities and their traditions.,Skjaldritið veitir ítarlega sýn á líf innfæddra samfélaga og hefðir þeirra.,17,38,21,102,Very Long
28,He enjoys experimenting with different cooking techniques to create unique and flavorful dishes.,Hann nýtur þess að prófa mismunandi eldunarhátt til að skapa einstaka og bragðgóða rétti.,14,38,24,96,Long
29,The startup launched a mobile application designed to help users manage their daily tasks efficiently.,Upphafsfyrirtækið lauk í að þróa farsímaforrit sem ætlað er að hjálpa notendum að stjórna daglegum verkefnum sínum skilvirkt.,16,57,41,102,Very Long
30,They celebrated their anniversary by taking a trip to a remote island and enjoying the serene environment.,Þau fagnaði brúðkaupsárinu sínu með því að ferðast á afskekkt eyju og njóta friðsæls umhverfis.,18,48,30,106,Very Long
31,The environmental organization launched a campaign to raise awareness about plastic pollution in oceans.,Umhverfisstofnunin lauk í að hefja herferð til að auka meðvitund um plastmengun í hafinu.,15,41,26,104,Very Long
32,She designed a unique dress for the fashion show incorporating vibrant colors and modern styles.,Hún hannaði einstaka kjól fyrir tískusýninguna sem innihélt lifandi litum og nútímalegum stíl.,16,41,25,96,Long
33,The chef experimented with new recipes to create a seasonal menu for the restaurant.,Sjóðinn reyndi nýjar uppskriftir til að búa til árstíðabundið matseðil fyrir veitingastaðinn.,15,43,28,84,Medium
